cluster,programme,marker_genes_present,n_cells,cells_with_positive_score,pct_cells_positive,mean_score,median_score
0,T cell,"CD3D, CD3E",1197,1146,95.73934837092732,1.9062899351119995,2.0637805461883545
0,B cell,"MS4A1, CD79A, CD37",1197,894,74.68671679197995,0.5678454041481018,0.6225699782371521
0,NK cell,"NKG7, GNLY, KLRD1",1197,293,24.477861319966582,0.1639903038740158,0.0
0,Monocyte,"LYZ, LST1, S100A8, S100A9",1197,800,66.83375104427736,0.40974313020706177,0.41732674837112427
0,Dendritic-cell-like,"FCER1A, CST3",1197,239,19.96658312447786,0.17328594624996185,0.0
0,Platelet contamination,"PPBP, PF4",1197,20,1.670843776106934,0.013817080296576023,0.0
1,T cell,"CD3D, CD3E",489,84,17.177914110429448,0.15961617231369019,0.0
1,B cell,"MS4A1, CD79A, CD37",489,407,83.23108384458078,0.708601176738739,0.7814044952392578
1,NK cell,"NKG7, GNLY, KLRD1",489,144,29.447852760736197,0.19523264467716217,0.0
1,Monocyte,"LYZ, LST1, S100A8, S100A9",489,489,100.0,4.097284317016602,4.189742088317871
1,Dendritic-cell-like,"FCER1A, CST3",489,485,99.18200408997954,1.9652328491210938,1.9988795518875122
1,Platelet contamination,"PPBP, PF4",489,34,6.952965235173824,0.07918629050254822,0.0
2,T cell,"CD3D, CD3E",445,342,76.85393258426966,1.4826884269714355,1.5045173168182373
2,B cell,"MS4A1, CD79A, CD37",445,276,62.022471910112365,0.4732069969177246,0.5955923199653625
2,NK cell,"NKG7, GNLY, KLRD1",445,438,98.42696629213484,2.2200636863708496,2.076284170150757
2,Monocyte,"LYZ, LST1, S100A8, S100A9",445,255,57.30337078651685,0.36016783118247986,0.42265409231185913
2,Dendritic-cell-like,"FCER1A, CST3",445,91,20.44943820224719,0.19967089593410492,0.0
2,Platelet contamination,"PPBP, PF4",445,5,1.1235955056179776,0.019769810140132904,0.0
3,T cell,"CD3D, CD3E",347,53,15.273775216138327,0.14787903428077698,0.0
3,B cell,"MS4A1, CD79A, CD37",347,345,99.42363112391931,2.7171292304992676,2.8295199871063232
3,NK cell,"NKG7, GNLY, KLRD1",347,53,15.273775216138327,0.10448817163705826,0.0
3,Monocyte,"LYZ, LST1, S100A8, S100A9",347,208,59.94236311239193,0.3792405426502228,0.436835914850235
3,Dendritic-cell-like,"FCER1A, CST3",347,63,18.155619596541786,0.16943256556987762,0.0
3,Platelet contamination,"PPBP, PF4",347,10,2.881844380403458,0.0255759134888649,0.0
4,T cell,"CD3D, CD3E",163,32,19.631901840490798,0.15535394847393036,0.0
4,B cell,"MS4A1, CD79A, CD37",163,154,94.47852760736197,0.7514215707778931,0.7608020901679993
4,NK cell,"NKG7, GNLY, KLRD1",163,66,40.49079754601227,0.2308257818222046,0.0
4,Monocyte,"LYZ, LST1, S100A8, S100A9",163,163,100.0,2.5322227478027344,2.4889895915985107
4,Dendritic-cell-like,"FCER1A, CST3",163,163,100.0,1.9158135652542114,1.933577299118042
4,Platelet contamination,"PPBP, PF4",163,14,8.588957055214724,0.07896694540977478,0.0
5,T cell,"CD3D, CD3E",36,9,25.0,0.1737150102853775,0.0
5,B cell,"MS4A1, CD79A, CD37",36,34,94.44444444444444,0.7045983076095581,0.6701451539993286
5,NK cell,"NKG7, GNLY, KLRD1",36,18,50.0,0.23940150439739227,0.1540270745754242
5,Monocyte,"LYZ, LST1, S100A8, S100A9",36,35,97.22222222222221,2.36173152923584,2.1394784450531006
5,Dendritic-cell-like,"FCER1A, CST3",36,36,100.0,3.2211668491363525,3.3399367332458496
5,Platelet contamination,"PPBP, PF4",36,3,8.333333333333332,0.0567580908536911,0.0
6,T cell,"CD3D, CD3E",13,2,15.384615384615385,0.13810886442661285,0.0
6,B cell,"MS4A1, CD79A, CD37",13,3,23.076923076923077,0.1616521179676056,0.0
6,NK cell,"NKG7, GNLY, KLRD1",13,2,15.384615384615385,0.060510020703077316,0.0
6,Monocyte,"LYZ, LST1, S100A8, S100A9",13,7,53.84615384615385,0.6110214591026306,0.41013744473457336
6,Dendritic-cell-like,"FCER1A, CST3",13,8,61.53846153846154,0.9690768718719482,1.1994024515151978
6,Platelet contamination,"PPBP, PF4",13,13,100.0,5.462707042694092,5.724040985107422
7,T cell,"CD3D, CD3E",10,8,80.0,1.2246630191802979,1.3017635345458984
7,B cell,"MS4A1, CD79A, CD37",10,10,100.0,0.7385643124580383,0.4998868703842163
7,NK cell,"NKG7, GNLY, KLRD1",10,9,90.0,1.0015456676483154,0.7989145517349243
7,Monocyte,"LYZ, LST1, S100A8, S100A9",10,10,100.0,0.5542888045310974,0.5898824334144592
7,Dendritic-cell-like,"FCER1A, CST3",10,5,50.0,0.22568106651306152,0.12582191824913025
7,Platelet contamination,"PPBP, PF4",10,1,10.0,0.033807095140218735,0.0
